Country,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases
Luxembourg,Europe,"642,371","391,232",,"1,232",,N/A,N/A,N/A
North Macedonia,Europe,"2,081,304","350,567",,"9,976",,"337,068",,"3,523"
Zambia,Africa,"19,470,234","349,304",,"4,069",,"341,316",,"3,919"
Kenya,Africa,"56,215,221","344,130",,"5,689",,"337,309",,"1,132"
Brunei,Asia,"445,431","343,719",,225,,"243,601",,"99,893"
Albania,Europe,"2,866,374","334,863",,"3,605",,"330,233",,"1,025"
Botswana,Africa,"2,441,162","330,638",,"2,801",,"327,049",,788
Montenegro,Europe,"627,950","296,542",,"2,846",,"291,794",,"1,902"
Algeria,Africa,"45,350,148","272,010",,"6,881",,"183,061",,"82,068"
Nigeria,Africa,"216,746,934","267,188",,"3,155",,"259,953",,"4,080"
Zimbabwe,Africa,"15,331,428","266,359",,"5,740",,"258,888",,"1,731"
Uzbekistan,Asia,"34,382,084","253,662",,"1,637",,"241,486",,"10,539"
Afghanistan,Asia,"40,754,388","234,174",,"7,996",,"211,080",,"15,098"
Mozambique,Africa,"33,089,461","233,731",,"2,250",,"228,805",,"2,676"
Martinique,North America,"374,087","230,354",,"1,102",,N/A,N/A,N/A
Laos,Asia,"7,481,023","218,970",,758,,N/A,N/A,N/A
Iceland,Europe,"345,393","209,906",,229,,N/A,N/A,N/A
Kyrgyzstan,Asia,"6,728,271","206,897",,"2,991",,"196,406",,"7,500"
Guadeloupe,North America,"399,794","203,235",,"1,021",,N/A,N/A,N/A
El Salvador,North America,"6,550,389","201,855",,"4,230",,"179,410",,"18,215"
Trinidad and Tobago,North America,"1,406,585","191,496",,"4,390",,"187,078",,28
Maldives,Asia,"540,985","186,694",,316,,"163,687",,"22,691"
Namibia,Africa,"2,633,874","172,389",,"4,106",,"167,099",,"1,184"
Uganda,Africa,"48,432,863","172,149",,"3,632",,"100,431",,"68,086"
Ghana,Africa,"32,395,450","171,889",,"1,462",,"170,425",,2
Jamaica,North America,"2,985,094","156,869",,"3,756",,N/A,N/A,N/A
Cambodia,Asia,"17,168,639","139,103",,"3,056",,"136,044",,3
Rwanda,Africa,"13,600,464","133,518",,"1,468",,"132,039",,11
Cameroon,Africa,"27,911,548","125,379",,"1,974",,"123,280",,125
Malta,Europe,"444,033","121,420",,885,,"120,149",,386
Barbados,North America,"288,023","110,578",,648,,"108,647",,"1,283"
Angola,Africa,"35,027,343","107,327",,"1,937",,"103,419",,"1,971"
Channel Islands,Europe,"176,463","101,717",,228,,"101,321",,168
DRC,Africa,"95,240,792","99,338",,"1,468",,"84,489",,"13,381"
French Guiana,South America,"314,169","98,041",,420,,"11,254",,"86,367"
Malawi,Africa,"20,180,839","89,535",,"2,686",,N/A,N/A,N/A
Senegal,Africa,"17,653,671","89,053",,"1,971",,"87,024",,58
Ivory Coast,Africa,"27,742,298","88,384",,835,,"87,497",,52
Suriname,South America,"596,831","82,588",,"1,408",,N/A,N/A,N/A
New Caledonia,Australia/Oceania,"290,915","80,064",,314,,N/A,N/A,N/A
French Polynesia,Australia/Oceania,"284,164","79,254",,650,,N/A,N/A,N/A
Eswatini,Africa,"1,184,817","75,191",,"1,427",,"73,116",,648
Guyana,South America,"794,045","74,137",,"1,300",,"72,013",,824
Belize,North America,"412,190","71,409",,688,,N/A,N/A,N/A
Fiji,Australia/Oceania,"909,466","69,117",,885,,"67,226",,"1,006"
Madagascar,Africa,"29,178,077","68,486",,"1,426",,"66,862",,198
Cabo Verde,Africa,"567,678","64,477",,417,,"63,755",,305
Sudan,Africa,"45,992,020","63,993",,"5,046",,"58,947",,0
Mauritania,Africa,"4,901,981","63,848",,997,,"62,471",,380
Bhutan,Asia,"787,941","62,697",,21,,"61,564",,"1,112"
Syria,Asia,"19,364,809","57,743",,"3,165",,"54,578",,0
Burundi,Africa,"12,624,840","54,721",,38,,"53,569",,"1,114"
Seychelles,Africa,"99,426","51,220",,172,,"51,048",,0
Gabon,Africa,"2,331,533","49,051",,307,,"48,674",,70
Andorra,Europe,"77,463","48,015",,165,,N/A,N/A,N/A
Papua New Guinea,Australia/Oceania,"9,292,169","46,864",,670,,"46,168",,26
Curaçao,North America,"165,529","45,986",,295,,"44,720",,971
Aruba,North America,"107,609","44,224",,292,,"42,438",,"1,494"
Tanzania,Africa,"63,298,550","43,223",,846,,N/A,N/A,N/A
Mauritius,Africa,"1,274,727","43,025",,"1,051",,"41,278",,696
Mayotte,Africa,"286,259","42,027",,188,,N/A,N/A,N/A
Togo,Africa,"8,680,837","39,572",,290,,"39,281",,1
Guinea,Africa,"13,865,691","38,572",,468,,"37,757",,347
Bahamas,North America,"400,516","38,084",,844,,"36,366",,874
Isle of Man,Europe,"85,732","38,008",,116,,N/A,N/A,N/A
Lesotho,Africa,"2,175,699","36,138",,723,,"25,980",,"9,435"
Haiti,North America,"11,680,283","34,667",,860,,"33,734",,73
Faeroe Islands,Europe,"49,233","34,658",,28,,N/A,N/A,N/A
Mali,Africa,"21,473,764","33,164",,743,,"32,332",,89
Cayman Islands,North America,"67,277","31,472",,37,,"8,553",,"22,882"
Saint Lucia,North America,"185,113","30,215",,410,,"29,805",,0
Benin,Africa,"12,784,726","28,036",,163,,"27,847",,26
Macao,Asia,"667,490","27,673",,123,,"3,487",,"24,063"
Somalia,Africa,"16,841,795","27,334",,"1,361",,"13,182",,"12,791"
Micronesia,Australia/Oceania,"117,489","26,547",,65,,N/A,N/A,N/A
San Marino,Europe,"34,085","26,185",,128,,"26,011",,46
Solomon Islands,Australia/Oceania,"721,159","25,954",,199,,N/A,N/A,N/A
Congo,Africa,"5,797,805","25,375",,386,,"24,006",,983
Timor-Leste,Asia,"1,369,429","23,460",,138,,"23,102",,220
Burkina Faso,Africa,"22,102,838","22,114",,400,,"21,596",,118
Liechtenstein,Europe,"38,387","21,574",,94,,N/A,N/A,N/A
Gibraltar,Europe,"33,704","20,550",,113,,N/A,N/A,N/A
Grenada,North America,"113,475","19,693",,238,,"19,358",,97
Bermuda,North America,"61,939","18,860",,165,,"18,685",,10
South Sudan,Africa,"11,618,511","18,819",,147,,"18,115",,557
Nicaragua,North America,"6,779,100","18,491",,225,,"4,225",,"14,041"
Tajikistan,Asia,"9,957,464","17,786",,125,,"17,264",,397
Equatorial Guinea,Africa,"1,496,662","17,229",,183,,"16,907",,139
Monaco,Europe,"39,783","17,181",,67,,N/A,N/A,N/A
Samoa,Australia/Oceania,"202,239","17,006",,31,,"1,605",,"15,370"
Tonga,Australia/Oceania,"107,749","16,950",,13,,"15,638",,"1,299"
Marshall Islands,Australia/Oceania,"60,057","16,138",,17,,"16,121",,0
Dominica,North America,"72,344","16,038",,74,,"15,964",,0
Djibouti,Africa,"1,016,097","15,690",,189,,"15,427",,74
CAR,Africa,"5,016,678","15,440",,113,,"15,200",,127
Gambia,Africa,"2,558,482","12,626",,372,,"12,189",,65
Saint Martin,North America,"39,730","12,324",,63,,N/A,N/A,N/A
Vanuatu,Australia/Oceania,"321,832","12,019",,14,,"11,976",,29
Greenland,North America,"56,973","11,971",,21,,"2,761",,"9,189"
Yemen,Asia,"31,154,867","11,945",,"2,159",,"9,124",,662
Caribbean Netherlands,North America,"26,647","11,682",,38,,"10,476",,"1,168"
Sint Maarten,North America,"43,966","11,051",,92,,"10,905",,54
Eritrea,Africa,"3,662,244","10,189",,103,,"10,086",,0
Niger,Africa,"26,083,660","9,931",,312,,"8,890",,729
St. Vincent Grenadines,North America,"111,551","9,674",,124,,"9,493",,57
Guinea-Bissau,Africa,"2,063,367","9,614",,177,,"8,929",,508
Comoros,Africa,"907,419","9,109",,161,,"8,939",,9
Antigua and Barbuda,North America,"99,509","9,106",,146,,"8,954",,6
Liberia,Africa,"5,305,117","8,090",,295,,"7,783",,12
Sierra Leone,Africa,"8,306,436","7,779",,126,,N/A,N/A,N/A
Chad,Africa,"17,413,580","7,701",,194,,"4,874",,"2,633"
British Virgin Islands,North America,"30,596","7,392",,64,,N/A,N/A,N/A
Cook Islands,Australia/Oceania,"17,571","7,203",,2,,"7,150",,51
Sao Tome and Principe,Africa,"227,679","6,778",,80,,"6,685",,13
Turks and Caicos,North America,"39,741","6,752",,40,,"6,709",,3
Saint Kitts and Nevis,North America,"53,871","6,607",,48,,"6,559",,0
Palau,Australia/Oceania,"18,233","6,290",,10,,"6,276",,4
St. Barth,North America,"9,945","5,507",,6,,N/A,N/A,N/A
Nauru,Australia/Oceania,"10,903","5,393",,1,,"5,347",,45
Kiribati,Australia/Oceania,"123,419","5,085",,24,,"2,703",,"2,358"
Anguilla,North America,"15,230","3,904",,12,,N/A,N/A,N/A
Wallis and Futuna,Australia/Oceania,"10,982","3,550",,8,,438,,"3,104"
Saint Pierre Miquelon,North America,"5,759","3,452",,2,,"2,449",,"1,001"
Tuvalu,Australia/Oceania,"12,066","2,943",,1,,N/A,N/A,N/A
Saint Helena,Africa,"6,115","2,166",,,,2,,"2,164"
Falkland Islands,South America,"3,539","1,930",,,,"1,930",,0
Montserrat,North America,"4,965","1,403",,8,,"1,376",,19
Niue,Australia/Oceania,"1,622","1,059",,,,"1,056",,3
Diamond Princess,,,712,,13,,699,,0
Tokelau,Australia/Oceania,"1,378",80,,,,,,80
Vatican City,Europe,799,29,,,,29,,0
Western Sahara,Africa,"626,161",10,,1,,9,,0
MS Zaandam,,,9,,2,,7,,0
China,Asia,"1,448,471,400","503,302",,"5,272",,"379,053",,"118,977"
